fiscal_year,fiscal_quarter,obligatedAmount,ContractingCustomer
1995,NULL,116592014868.0000,Defense
2007,4,94074794039.9955,Defense
2014,4,87568363509.7557,Defense
1988,NULL,7652670.0000,Defense
2017,2,74878599043.8456,Defense
2001,3,29545499096.1812,Defense
2016,4,89458071314.3463,Defense
2004,4,50624336244.7163,Defense
2019,5,104223710890.9282,Defense
2000,2,30487804520.6766,Defense
2011,4,121151537247.5610,Defense
2010,3,78221684078.6074,Defense
2014,5,58628586289.9174,Defense
2006,4,84118357445.1646,Defense
2013,4,101595512179.2661,Defense
2005,3,52078116613.2040,Defense
2016,2,83207753498.4032,Defense
1994,NULL,117161902725.0000,Defense
2009,5,105109669423.5710,Defense
2008,4,122026091501.8715,Defense
2019,3,79927318233.9357,Defense
2004,5,72056045977.5468,Defense
2011,2,76278084457.4604,Defense
2018,2,78720858864.5388,Defense
2007,3,62938361095.0945,Defense
2011,5,84417756781.4899,Defense
1998,NULL,116965882167.0000,Defense
2017,4,105696511749.1127,Defense
2006,5,65180349419.8900,Defense
2001,2,35657513635.4042,Defense
2005,4,64886376770.0648,Defense
1996,NULL,118448779098.0000,Defense
2001,5,45216481605.5761,Defense
2015,2,70563856784.0224,Defense
2019,4,108329977526.2060,Defense
2000,4,32044725279.6797,Defense
2003,5,60635305596.3484,Defense
1993,NULL,121373382142.0000,Defense
2002,4,41944135222.3816,Defense
2009,4,114467926484.6840,Defense
2020,3,96929196122.7311,Defense
2005,5,82140839263.0679,Defense
2012,2,97315891578.2594,Defense
2008,3,70242122666.9148,Defense
2000,5,39577388662.9866,Defense
1997,NULL,115982151879.0000,Defense
2019,2,91070848788.2900,Defense
1990,NULL,120350129405.0000,Defense
2014,2,64839884798.1975,Defense
2018,4,115142076500.5410,Defense
2009,2,88541975736.0321,Defense
2002,5,41837464902.2884,Defense
2020,4,104547747214.2634,Defense
2001,4,33545359578.7994,Defense
2004,2,59676625063.2629,Defense
2000,3,30051057842.0445,Defense
1987,NULL,-171000.0000,Defense
1999,NULL,122185036488.0000,Defense
2015,4,81882521309.2958,Defense
2003,4,56397347926.5865,Defense
2002,3,32513476356.3065,Defense
2013,2,47128135529.2138,Defense
2009,3,72962638576.7898,Defense
2013,5,88180845863.3134,Defense
2008,2,95804785253.6554,Defense
2012,4,107931558576.2247,Defense
2015,5,66300018743.7515,Defense
2003,2,50181901753.2566,Defense
2011,3,86326797249.1894,Defense
2010,2,95672967552.9525,Defense
2018,3,90185345784.8967,Defense
2010,5,76768090585.1729,Defense
2006,3,54835280396.3020,Defense
2017,5,67303368155.1128,Defense
2005,2,66399189253.9662,Defense
2013,3,69357586811.1481,Defense
1992,NULL,123406660550.0000,Defense
2015,3,55186779450.0059,Defense
2012,5,72721346807.6764,Defense
2007,2,71550075736.1015,Defense
2003,3,44316801936.9025,Defense
2007,5,99403396515.3789,Defense
2002,2,53463936003.7781,Defense
2017,3,72504947793.7471,Defense
2012,3,79306213437.8535,Defense
2016,5,64192466498.7807,Defense
2006,2,90949575636.9688,Defense
2014,3,72013524929.5422,Defense
2010,4,111516036084.2525,Defense
2018,5,74156172879.1649,Defense
1991,NULL,136154193844.0000,Defense
2020,2,117978771354.5343,Defense
2016,3,61172228835.9356,Defense
1989,NULL,1636683946.0000,Defense
2004,3,47268703481.3255,Defense
2020,5,101880910545.5335,Defense
2008,5,89581982867.4878,Defense
