"VendorSize_Intl","IsFMS","PlaceIsForeign","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"U.S. Small","Includes FMS","International",53553361.187622,60130704.791972,98679921.9579646,59756054.8097268,120914848.06562,132938867.264518,47571630.1814491,83177622.5206612,142220107.2178
"U.S. Medium","Includes FMS","International",248627738.248479,320873922.336791,244904269.026549,425431680.525137,280409247.095831,654911471.199213,602993405.962107,519165876.194572,486747185.3275
"U.S. Large","Includes FMS","International",215897061.221839,274193624.050062,417011081.681416,449837889.573443,289648961.680888,341903210.659753,308165640.631168,241396072.620345,168628973.6377
"U.S. Big Five","Includes FMS","International",443789088.960845,651041840.393505,227227822.378319,426033997.113989,406208986.261072,639314448.415869,779707070.939517,1179956648.44597,172898678.2732
"International","Includes FMS","International",1116842860.39695,1752800262.62724,1431751302.27931,2044137760.14754,1314938113.81754,1247875034.84205,1554173279.32886,1222871188.91552,1646696477.6736
"Unlabeled","Includes FMS","International",116191427.346883,140964248.979705,162439209.900442,43498049.7946448,119211052.358744,12402929.1766645,5053988.48990214,-11543068.1671258,1375701.6836
"U.S. Small","No FMS","International",3655388816.02641,1570821711.34175,1339704071.61007,1059590577.45967,1170021116.01429,1614716496.35588,1530302495.46315,1397958053.92429,1297244910.3748
"U.S. Medium","No FMS","International",6091955628.30876,6637510756.64258,2835382874.05774,3132357259.98284,3605998066.90785,3365214728.88385,3246377709.35561,3475061385.95654,3793326108.533
"U.S. Large","No FMS","International",14080702342.5027,12576080228.5031,6076995531.04181,4481608795.68339,3427002077.49226,4086347068.12721,4767303614.51437,4918458079.20937,4391319010.1554
"U.S. Big Five","No FMS","International",1831915757.85073,1469176138.02097,790999832.294248,571228105.035956,550711534.250677,441322449.864922,454089257.855611,486749377.904704,369788726.0721
"International","No FMS","International",20008507262.5607,18337511667.6212,12099136712.1986,9582471114.80787,9083495608.72009,9049670578.14199,10153287561.7253,9923734726.07061,9271871739.7363
"Unlabeled","No FMS","International",3011226044.9411,1394403743.75724,455770417.135841,446929657.757268,623600306.813211,485388322.220485,188501484.863835,355835547.658912,55081508.5289
"U.S. Small","Includes FMS","Domestic",734349658.590424,852766932.265419,768192325.418695,996492459.522732,1283819607.30352,1198162346.54914,1682244897.76275,1822914062.28364,1729089481.2314
"U.S. Medium","Includes FMS","Domestic",3437862599.73281,2010369777.47164,1306897798.74956,2129869238.12175,2784930546.54889,2878724054.36046,2106052930.98574,2810819514.25559,2946133708.1993
"U.S. Large","Includes FMS","Domestic",6176383447.82753,4933067248.49667,5268353994.46184,4975391818.07989,5538005513.30038,4154848206.87864,5331760085.63835,4979898136.57219,4837350661.2356
"U.S. Big Five","Includes FMS","Domestic",19337578784.4905,11685883931.3429,7566264464.75177,14853612042.058,24277295676.3025,21701406015.6836,23697619108.5413,26303101906.4021,38146567443.2925
"International","Includes FMS","Domestic",819689.347915949,107926.485511332,1964993.37389381,49801354.557377,59613406.6053059,44943387.2261221,42495686.0967104,241715.028772574,5481039.1531
"Unlabeled","Includes FMS","Domestic",504987.403835113,579960.198444019,8295.96216814159,18863.3879781421,2310007.57985923,2005487.13039779,-12116.3855923381,0,73197
