"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",20752433554.8069,22386855579.8807,25803646202.2489,31479738358.29,37532046095.0014,42233204664.3596,45201239370.3597,52452632916.0571,56949957402.7422,55338993331.7335,56099108384.5041,52378848389.0672,49574352293.2098,41517691985.7867,40881465195.3545,39556046289.9827,43328236664.686,45890727797.5739,50962837197.6896,54933887933.598,55351923067.4348,49617015224.1283,53529897237.5687,56309647307.506,58084291509.8125,23152605482.47
"DHS",56811000,71542574.3125,436665488.1992,1606394966.0708,3596276003.2223,3065902291.5729,3676911080.8097,4340238940.4835,4383600034.4298,4348294421.4079,4469755877.047,3938507694.7515,4043177694.788,3709115923.1227,4185749597.4257,4540271818.3873,4748328573.2156,4921183058.2427,5366032886.4773,5489434703.5694,5565356484.249,5868114670.4648,6211314154.1131,6869134254.9299,7349196045.99,1887843686.14
"DISTRICT OF COLUMBIA COURTS",,,,,,,,,,,,,,,,,,,,,,7223349.72,7194483.38,9615257.71,10790354.41,5155967.93
"Energy",174604768.8672,176419446.6504,213454189.7568,266423503.4953,274410065.7904,303132510.1669,326630720.6786,380598747.9597,377886925.2,399979107.3408,412332244.26,329427295.3224,230313444.2527,164629131.0657,194515924.4599,248668811.6667,283786533.92,354709203.3713,350835140.1353,532267354.1387,624031539.1181,673495853.2917,796446959.1863,860366755.5682,907770477.59,297983485.24
"GSA",4462061034.8236,5134742773.8807,5964780953.6675,7673234552.14,5952033935.5664,4898030716.9677,3399399020.3772,2877288630.9537,3096138842.7266,3176314630.1755,2999813319.1729,3577929567.2983,2793942073.9845,2366360193.7867,2301493781.6973,2362134654.0752,2496250875.6133,3071976062.2367,3597560766.2119,4278108337.2563,5074807514.1796,5290734019.4898,6467681816.084,6723334236.9221,7707589073.31,2934507703.37
"HHS",752041585.5951,1048847396.0167,1427011986.6656,1648101344.6655,1899866599.5401,1907514743.8575,1925362647.3885,2087991548.2841,2140557253.2035,2352855192.4036,2521688533.9425,2980698804.5109,3340885731.1037,3837483603.1928,4751503366.9402,4918470916.4708,5111217879.5551,5757814435.5947,6136983199.35,5946896762.8982,6266691923.1287,6708640605.8653,6924082324.8751,7261599501.9535,7372762698.08,2332451127.68
"NASA",518439181.3624,576859137.3211,508286637.7215,484116090.7749,1038044787.1971,1017467633.1256,1183154259.8065,1166074444.36,1067475097.8464,1107239938.0527,1148733885.5572,1176025808.867,1129860153.9561,1035310199.7633,1008526201.8211,1066283919.3401,1024371973.8332,997218667.4415,1075681629.4146,1112400564.8715,1189476422.9743,1204285615.171,1189252742.1128,1222766857.8264,1325762290.87,513067202.31
"NATIONAL ENDOWMENT FOR THE HUMANITIES",,,,,,,,,,,,,,,,,,,,1628435.7571,1358588.3494,1944156.844,2974951.609,452684.8438,839208.52,478808.66
"NUCLEAR WASTE TECHNICAL REVIEW BOARD",,,,,,,,,,,,,,,,,,,,,,29835.0801,,,,
"Other Agencies",6389987212.9143,6968191996.9214,8191168189.4224,6946148578.3335,7918307307.3209,7779114315.8295,7786165886.6014,8897890068.8485,9120700656.7625,10492063122.4134,10919228611.4546,10285009229.8805,10327500310.1701,9931817660.1086,11675955722.0547,12090414483.4387,13086345641.9722,12450281150.5987,13059948309.0865,14250611663.735,15521666624.0435,15863076374.4247,15985562258.9846,18176691671.5241,19002772939.68,6995173326.57
"State and IAP",281092086.4343,475296273.7745,603486853.7727,534642767.0886,744607453.026,719437314.902,632390187.3346,813737240.54,884990124.9117,1133627544.4164,1594548137.7449,1368508179.5089,1520060492.7048,1466635814.0492,1699929900.1425,1806921433.1311,2023975211.8522,2139853699.7181,2227032147.464,2223631019.4615,2453066661.5033,2341761426.6674,2382359501.2726,2502024260.843,2681813695.86,709085904.18
"THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES",,,,,,,,610937.69,377502.03,697678.2007,293662.97,504399.68,695563.88,1107852.7,1387469.35,1084599.2233,1512642.07,694848.85,522941.4206,1647083.3357,2908961.026,2028567.8378,1427931.92,3531362.5398,2718975.03,280732.15
"UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO",,,,,,,,,,,,,,,,,,,,,13286050.4553,16887138.2182,8825050.7089,27575917.7623,37849209.42,4780011.32
"VA",464527294,579126095.0737,736303343.5009,1047378685.1898,926440635.3337,978884394.2903,1011802001.0719,1191041161.5724,1303770657.2654,1437148474.977,2225101945.2663,2377105880.7828,2255527278.6466,2852668298.3136,3083947769.6522,3205608652.0503,3393913488.0764,3941907106.6071,4330110225.3733,4691871234.6425,5972507395.5123,6668461776.1668,7601668319.8182,7230309626.6927,7774092873.6744,2517556083.86
