"ProductServiceOrRnDarea","2011-01-01","2012-01-01","2013-01-01","2014-01-01","2015-01-01","2016-01-01","2017-01-01","2018-01-01","2019-01-01","2020-01-01","2021-01-01","2022-01-01"
"Basic Research (6.1)",NA,NA,0,NA,11012377,8787876,46030027.13,92299014.47,323690784.97,499884528.13,709075131.4,662255826.81
"Applied Research (6.2)",127021609.88,55096830.33,28646865.88,28025309,73804436.26,268592070.22,324480747.08,388523439.96,986577374.35,1882568101.17,1882828516.79,1604707595.51
"Advanced Technology
Development (6.3)",3795000,49596316,4334434.63,27582823,19645738.98,207700686.2,337105133.48,427787894.15,602269114.41,8032245817.66,3674693281.51,3182673000.17
"Advanced Component
Development & Prototypes (6.4)",135573563.86,299582335.39,291505498.22,467424521.6,586575919.55,700467946.19,1141574512.78,2371711034.96,3802289988.03,3877442861.73,4463494874.38,3025926457.24
"System Development &
Demonstration (6.5)",374728,1373053,2180081,762568,1372278,1785049.21,2483846,30481372,773681348.15,497449054.8,612503205.61,350800674.18
"Operational Systems
Development (6.7)",0,0,0,0,NA,NA,1882400,3475860.34,415246.02,15875824.48,400529,682879
"Uncategorized R&D",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
